Date,Close/Last,Volume,Open,High,Low
06/27/2024,7273.00,N/A,7273.00,7273.00,7273.00
06/26/2024,7790.00,N/A,7790.00,7790.00,7790.00
06/25/2024,7848.00,N/A,7848.00,7848.00,7848.00
06/24/2024,7920.00,N/A,7920.00,7920.00,7920.00
06/21/2024,8905.00,N/A,8905.00,8905.00,8905.00
06/20/2024,9055.00,N/A,9055.00,9055.00,9055.00
06/18/2024,9390.00,N/A,9390.00,9390.00,9390.00
06/17/2024,9151.00,N/A,9151.00,9151.00,9151.00
06/14/2024,10810.00,N/A,10810.00,10810.00,10810.00
06/13/2024,10810.00,N/A,10810.00,10810.00,10810.00
06/12/2024,10539.00,N/A,10539.00,10539.00,10539.00
06/11/2024,9910.00,N/A,9910.00,9910.00,9910.00
06/10/2024,9687.00,N/A,9687.00,9687.00,9687.00
06/07/2024,9933.00,N/A,9933.00,9933.00,9933.00
06/06/2024,9872.00,N/A,9872.00,9872.00,9872.00
06/05/2024,9408.00,N/A,9408.00,9408.00,9408.00
06/04/2024,9557.00,N/A,9557.00,9557.00,9557.00
06/03/2024,9775.00,N/A,9775.00,9775.00,9775.00
05/31/2024,9331.00,N/A,9331.00,9331.00,9331.00
05/30/2024,9257.00,N/A,9257.00,9257.00,9257.00
05/29/2024,9309.00,N/A,9309.00,9309.00,9309.00
05/28/2024,8780.00,N/A,8780.00,8780.00,8780.00
05/24/2024,8294.00,N/A,8294.00,8294.00,8294.00
05/23/2024,8109.00,N/A,8109.00,8109.00,8109.00
05/22/2024,7536.00,N/A,7536.00,7536.00,7536.00
05/21/2024,7394.00,N/A,7394.00,7394.00,7394.00
05/20/2024,7216.00,N/A,7216.00,7216.00,7216.00
05/17/2024,7348.00,N/A,7348.00,7348.00,7348.00
05/16/2024,7393.00,N/A,7393.00,7393.00,7393.00
05/15/2024,7843.00,N/A,7843.00,7843.00,7843.00
05/14/2024,7322.00,N/A,7322.00,7322.00,7322.00
05/13/2024,7166.00,N/A,7166.00,7166.00,7166.00
05/10/2024,8891.00,N/A,8891.00,8891.00,8891.00
05/09/2024,8695.00,N/A,8695.00,8695.00,8695.00
05/08/2024,8634.00,N/A,8634.00,8634.00,8634.00
05/07/2024,8610.00,N/A,8610.00,8610.00,8610.00
05/06/2024,7588.00,N/A,7588.00,7588.00,7588.00
05/03/2024,8145.00,N/A,8145.00,8145.00,8145.00
05/02/2024,7563.00,N/A,7563.00,7563.00,7563.00
05/01/2024,8284.00,N/A,8284.00,8284.00,8284.00
04/30/2024,9283.00,N/A,9283.00,9283.00,9283.00
04/29/2024,8931.00,N/A,8931.00,8931.00,8931.00
04/26/2024,10594.00,N/A,10594.00,10594.00,10594.00
04/25/2024,10804.00,N/A,10804.00,10804.00,10804.00
04/24/2024,11017.00,N/A,11017.00,11017.00,11017.00
04/23/2024,10444.00,N/A,10444.00,10444.00,10444.00
04/22/2024,11064.00,N/A,11064.00,11064.00,11064.00
04/19/2024,11035.00,N/A,11035.00,11035.00,11035.00
04/18/2024,11035.00,N/A,11035.00,11035.00,11035.00
04/17/2024,10066.00,N/A,10066.00,10066.00,10066.00
04/16/2024,10243.00,N/A,10243.00,10243.00,10243.00
04/15/2024,11001.00,N/A,11001.00,11001.00,11001.00
04/12/2024,10987.00,N/A,10987.00,10987.00,10987.00
04/11/2024,10373.00,N/A,10373.00,10373.00,10373.00
04/10/2024,10411.00,N/A,10411.00,10411.00,10411.00
04/09/2024,10204.00,N/A,10204.00,10204.00,10204.00
04/08/2024,9895.00,N/A,9895.00,9895.00,9895.00
04/05/2024,9795.00,N/A,9795.00,9795.00,9795.00
04/04/2024,9462.00,N/A,9462.00,9462.00,9462.00
04/03/2024,9524.00,N/A,9524.00,9524.00,9524.00
04/02/2024,9949.00,N/A,9949.00,9949.00,9949.00
04/01/2024,10120.00,N/A,10120.00,10120.00,10120.00
03/28/2024,9766.00,N/A,9766.00,9766.00,9766.00
03/27/2024,9843.00,N/A,9843.00,9843.00,9843.00
03/26/2024,9622.00,N/A,9622.00,9622.00,9622.00
03/25/2024,9649.00,N/A,9649.00,9649.00,9649.00
03/22/2024,8939.00,N/A,8939.00,8939.00,8939.00
03/21/2024,6396.00,N/A,6396.00,6396.00,6396.00
03/20/2024,8324.00,N/A,8324.00,8324.00,8324.00
03/19/2024,8027.00,N/A,8027.00,8027.00,8027.00
03/18/2024,8172.00,N/A,8172.00,8172.00,8172.00
03/15/2024,8018.00,N/A,8018.00,8018.00,8018.00
03/14/2024,7405.00,N/A,7405.00,7405.00,7405.00
03/13/2024,7035.00,N/A,7035.00,7035.00,7035.00
03/12/2024,7049.00,N/A,7049.00,7049.00,7049.00
03/11/2024,6728.00,N/A,6728.00,6728.00,6728.00
03/08/2024,6396.00,N/A,6396.00,6396.00,6396.00
03/07/2024,6452.00,N/A,6452.00,6452.00,6452.00
03/06/2024,6549.00,N/A,6549.00,6549.00,6549.00
03/05/2024,6450.00,N/A,6450.00,6450.00,6450.00
03/04/2024,6586.00,N/A,6586.00,6586.00,6586.00
03/01/2024,6327.00,N/A,6327.00,6327.00,6327.00
02/29/2024,6049.00,N/A,6049.00,6049.00,6049.00
02/28/2024,5994.00,N/A,5994.00,5994.00,5994.00
02/27/2024,6455.00,N/A,6455.00,6455.00,6455.00
02/26/2024,6557.00,N/A,6557.00,6557.00,6557.00
