Date,Close/Last,Volume,Open,High,Low
06/28/2024,0.7198,N/A,0.7198,0.7198,0.7198
06/27/2024,0.7391,N/A,0.7391,0.7391,0.7391
06/26/2024,0.7459,N/A,0.7459,0.7459,0.7459
06/25/2024,0.7421,N/A,0.7421,0.7421,0.7421
06/24/2024,0.7228,N/A,0.7228,0.7228,0.7228
06/21/2024,0.6819,N/A,0.6819,0.6819,0.6819
06/20/2024,0.7085,N/A,0.7085,0.7085,0.7085
06/18/2024,0.7103,N/A,0.7103,0.7103,0.7103
06/17/2024,0.6994,N/A,0.6994,0.6994,0.6994
06/14/2024,0.7097,N/A,0.7097,0.7097,0.7097
06/13/2024,0.7135,N/A,0.7135,0.7135,0.7135
06/12/2024,0.7174,N/A,0.7174,0.7174,0.7174
06/11/2024,0.7273,N/A,0.7273,0.7273,0.7273
06/10/2024,0.7181,N/A,0.7181,0.7181,0.7181
06/07/2024,0.7384,N/A,0.7384,0.7384,0.7384
06/06/2024,0.7544,N/A,0.7544,0.7544,0.7544
06/05/2024,0.7444,N/A,0.7444,0.7444,0.7444
06/04/2024,0.7348,N/A,0.7348,0.7348,0.7348
06/03/2024,0.7315,N/A,0.7315,0.7315,0.7315
05/31/2024,0.7615,N/A,0.7615,0.7615,0.7615
05/30/2024,0.7776,N/A,0.7776,0.7776,0.7776
05/29/2024,0.811,N/A,0.811,0.811,0.811
05/28/2024,0.8243,N/A,0.8243,0.8243,0.8243
05/24/2024,0.8052,N/A,0.8052,0.8052,0.8052
05/23/2024,0.8172,N/A,0.8172,0.8172,0.8172
05/22/2024,0.7938,N/A,0.7938,0.7938,0.7938
05/21/2024,0.7638,N/A,0.7638,0.7638,0.7638
05/20/2024,0.7603,N/A,0.7603,0.7603,0.7603
05/17/2024,0.7589,N/A,0.7589,0.7589,0.7589
05/16/2024,0.7624,N/A,0.7624,0.7624,0.7624
05/15/2024,0.7541,N/A,0.7541,0.7541,0.7541
05/14/2024,0.7463,N/A,0.7463,0.7463,0.7463
05/13/2024,0.7763,N/A,0.7763,0.7763,0.7763
05/10/2024,0.7731,N/A,0.7731,0.7731,0.7731
05/09/2024,0.786,N/A,0.786,0.786,0.786
05/08/2024,0.8006,N/A,0.8006,0.8006,0.8006
05/07/2024,0.775,N/A,0.775,0.775,0.775
05/06/2024,0.7706,N/A,0.7706,0.7706,0.7706
05/03/2024,0.7806,N/A,0.7806,0.7806,0.7806
05/02/2024,0.7562,N/A,0.7562,0.7562,0.7562
05/01/2024,0.7651,N/A,0.7651,0.7651,0.7651
04/30/2024,0.7843,N/A,0.7843,0.7843,0.7843
04/29/2024,0.8152,N/A,0.8152,0.8152,0.8152
04/26/2024,0.809,N/A,0.809,0.809,0.809
04/25/2024,0.8108,N/A,0.8108,0.8108,0.8108
04/24/2024,0.8101,N/A,0.8101,0.8101,0.8101
04/23/2024,0.8022,N/A,0.8022,0.8022,0.8022
04/22/2024,0.8004,N/A,0.8004,0.8004,0.8004
04/19/2024,0.7869,N/A,0.7869,0.7869,0.7869
04/18/2024,0.781,N/A,0.781,0.781,0.781
04/17/2024,0.7956,N/A,0.7956,0.7956,0.7956
04/16/2024,0.8129,N/A,0.8129,0.8129,0.8129
04/15/2024,0.8293,N/A,0.8293,0.8293,0.8293
04/12/2024,0.8262,N/A,0.8262,0.8262,0.8262
04/11/2024,0.8337,N/A,0.8337,0.8337,0.8337
04/10/2024,0.8531,N/A,0.8531,0.8531,0.8531
04/09/2024,0.8604,N/A,0.8604,0.8604,0.8604
04/08/2024,0.8665,N/A,0.8665,0.8665,0.8665
04/05/2024,0.8625,N/A,0.8625,0.8625,0.8625
04/04/2024,0.8714,N/A,0.8714,0.8714,0.8714
04/03/2024,0.8898,N/A,0.8898,0.8898,0.8898
04/02/2024,0.9081,N/A,0.9081,0.9081,0.9081
04/01/2024,0.9276,N/A,0.9276,0.9276,0.9276
03/28/2024,0.9138,N/A,0.9138,0.9138,0.9138
03/27/2024,0.9077,N/A,0.9077,0.9077,0.9077
03/26/2024,0.9341,N/A,0.9341,0.9341,0.9341
03/25/2024,0.9202,N/A,0.9202,0.9202,0.9202
03/22/2024,0.9153,N/A,0.9153,0.9153,0.9153
03/21/2024,0.9221,N/A,0.9221,0.9221,0.9221
03/20/2024,0.9218,N/A,0.9218,0.9218,0.9218
03/19/2024,0.9334,N/A,0.9334,0.9334,0.9334
03/18/2024,0.9457,N/A,0.9457,0.9457,0.9457
03/15/2024,0.9394,N/A,0.9394,0.9394,0.9394
03/14/2024,0.9348,N/A,0.9348,0.9348,0.9348
03/13/2024,0.949,N/A,0.949,0.949,0.949
03/12/2024,0.9523,N/A,0.9523,0.9523,0.9523
03/11/2024,0.9506,N/A,0.9506,0.9506,0.9506
03/08/2024,0.9528,N/A,0.9528,0.9528,0.9528
03/07/2024,0.9928,N/A,0.9928,0.9928,0.9928
03/06/2024,0.9528,N/A,0.9528,0.9528,0.9528
03/05/2024,0.9424,N/A,0.9424,0.9424,0.9424
03/04/2024,0.9458,N/A,0.9458,0.9458,0.9458
03/01/2024,0.9557,N/A,0.9557,0.9557,0.9557
02/29/2024,0.9957,N/A,0.9957,0.9957,0.9957
02/28/2024,1.0108,N/A,1.0108,1.0108,1.0108
02/27/2024,0.988,N/A,0.988,0.988,0.988
02/26/2024,0.948,N/A,0.948,0.948,0.948
02/23/2024,0.9349,N/A,0.9349,0.9349,0.9349
02/22/2024,0.942,N/A,0.942,0.942,0.942
02/21/2024,0.926,N/A,0.926,0.926,0.926
02/20/2024,0.9119,N/A,0.9119,0.9119,0.9119
02/16/2024,0.9387,N/A,0.9387,0.9387,0.9387
02/15/2024,0.9463,N/A,0.9463,0.9463,0.9463
02/14/2024,0.9348,N/A,0.9348,0.9348,0.9348
02/13/2024,0.9152,N/A,0.9152,0.9152,0.9152
02/12/2024,0.9053,N/A,0.9053,0.9053,0.9053
02/09/2024,0.9178,N/A,0.9178,0.9178,0.9178
02/08/2024,0.891,N/A,0.891,0.891,0.891
02/07/2024,0.8847,N/A,0.8847,0.8847,0.8847
02/06/2024,0.8754,N/A,0.8754,0.8754,0.8754
02/05/2024,0.8704,N/A,0.8704,0.8704,0.8704
02/02/2024,0.8711,N/A,0.8711,0.8711,0.8711
