Date,Close/Last,Volume,Open,High,Low
06/23/2024,1.2641,N/A,1.2645,1.2646,1.2632
06/21/2024,1.2643,N/A,1.2655,1.2675,1.2622
06/20/2024,1.266,N/A,1.2655,1.2666,1.2654
06/19/2024,1.273,N/A,1.2707,1.2738,1.2697
06/18/2024,1.2708,N/A,1.2707,1.2714,1.2697
06/17/2024,1.2698,N/A,1.2703,1.2716,1.2694
06/16/2024,1.2683,N/A,1.2682,1.2691,1.2677
06/14/2024,1.2686,N/A,1.2759,1.2764,1.2657
06/13/2024,1.2752,N/A,1.2759,1.2764,1.275
06/12/2024,1.2786,N/A,1.2796,1.2801,1.2784
06/11/2024,1.2743,N/A,1.274,1.2746,1.2732
06/10/2024,1.2736,N/A,1.273,1.2737,1.2724
06/09/2024,1.2717,N/A,1.2721,1.2734,1.2716
06/07/2024,1.2719,N/A,1.2788,1.2818,1.2715
06/06/2024,1.279,N/A,1.2788,1.2795,1.2784
06/05/2024,1.2799,N/A,1.2785,1.2809,1.2782
06/04/2024,1.277,N/A,1.2763,1.2781,1.2765
06/03/2024,1.2811,N/A,1.2804,1.2818,1.2796
06/02/2024,1.2742,N/A,1.2739,1.2756,1.2735
05/31/2024,1.2742,N/A,1.273,1.2767,1.27
05/30/2024,1.2723,N/A,1.273,1.2739,1.2715
05/29/2024,1.2694,N/A,1.2707,1.271,1.269
05/28/2024,1.2773,N/A,1.2767,1.2784,1.2768
05/27/2024,1.2782,N/A,1.2767,1.2784,1.2768
05/26/2024,1.274,N/A,1.274,1.2744,1.2733
05/24/2024,1.2738,N/A,1.2697,1.2751,1.2677
05/23/2024,1.2687,N/A,1.2697,1.27,1.2687
05/22/2024,1.2729,N/A,1.2729,1.2729,1.2716
05/21/2024,1.2713,N/A,1.2707,1.2723,1.2705
05/20/2024,1.2706,N/A,1.2704,1.2712,1.2697
05/19/2024,1.2705,N/A,1.2699,1.2708,1.2691
05/17/2024,1.2702,N/A,1.2666,1.2712,1.2645
05/16/2024,1.2658,N/A,1.2666,1.2677,1.2652
05/15/2024,1.2692,N/A,1.2685,1.2701,1.2672
05/14/2024,1.2599,N/A,1.2588,1.26,1.2582
05/13/2024,1.2557,N/A,1.2557,1.2563,1.2553
05/12/2024,1.2526,N/A,1.2521,1.2528,1.2517
05/10/2024,1.2525,N/A,1.2522,1.2542,1.2502
05/09/2024,1.2517,N/A,1.2522,1.253,1.2512
05/08/2024,1.2497,N/A,1.2496,1.2502,1.2487
05/07/2024,1.2487,N/A,1.2504,1.2522,1.2484
05/06/2024,1.2557,N/A,1.2561,1.2572,1.2551
05/05/2024,1.2546,N/A,1.2544,1.2557,1.2538
05/03/2024,1.2547,N/A,1.2531,1.2635,1.2521
05/02/2024,1.2521,N/A,1.2525,1.2545,1.2512
05/01/2024,1.2531,N/A,1.2525,1.2541,1.2518
04/30/2024,1.2473,N/A,1.249,1.25,1.2472
04/29/2024,1.2542,N/A,1.2561,1.2565,1.2542
04/28/2024,1.2523,N/A,1.2489,1.2529,1.2479
04/26/2024,1.2492,N/A,1.2513,1.2541,1.245
04/25/2024,1.2501,N/A,1.2513,1.252,1.2494
04/24/2024,1.2461,N/A,1.2461,1.2469,1.2444
04/23/2024,1.2454,N/A,1.2448,1.2465,1.2443
04/22/2024,1.2351,N/A,1.2349,1.2359,1.2346
04/21/2024,1.2381,N/A,1.2371,1.2393,1.2366
04/19/2024,1.237,N/A,1.2435,1.2468,1.2367
04/18/2024,1.2417,N/A,1.2435,1.2446,1.2389
04/17/2024,1.2467,N/A,1.2446,1.247,1.2447
04/16/2024,1.2431,N/A,1.2424,1.2472,1.2406
04/15/2024,1.2428,N/A,1.2444,1.2451,1.242
04/14/2024,1.2463,N/A,1.245,1.2465,1.2441
04/12/2024,1.245,N/A,1.255,1.2559,1.2427
04/11/2024,1.2544,N/A,1.255,1.2559,1.2544
04/10/2024,1.2526,N/A,1.2676,1.2708,1.252
04/09/2024,1.2667,N/A,1.2652,1.271,1.2649
04/08/2024,1.2655,N/A,1.2652,1.2662,1.265
04/07/2024,1.263,N/A,1.2636,1.264,1.2615
04/05/2024,1.264,N/A,1.264,1.2649,1.2574
04/04/2024,1.2626,N/A,1.264,1.2649,1.2622
04/03/2024,1.2654,N/A,1.2651,1.2657,1.2644
04/02/2024,1.2578,N/A,1.2577,1.2582,1.2567
04/01/2024,1.2548,N/A,1.255,1.2558,1.2543
03/31/2024,1.2633,N/A,1.2622,1.2643,1.2624
03/29/2024,1.2624,N/A,1.2622,1.2645,1.2609
03/28/2024,1.2624,N/A,1.2622,1.2636,1.2616
03/27/2024,1.2629,N/A,1.2638,1.2641,1.2611
03/26/2024,1.2612,N/A,1.2625,1.2633,1.2609
03/25/2024,1.2638,N/A,1.2634,1.2647,1.2634
03/24/2024,1.2608,N/A,1.2601,1.2617,1.2591
03/22/2024,1.2601,N/A,1.2656,1.2675,1.2575
03/21/2024,1.2643,N/A,1.2643,1.2675,1.2634
03/20/2024,1.2796,N/A,1.2784,1.2803,1.2784
03/19/2024,1.2723,N/A,1.272,1.2723,1.271
03/15/2024,1.2739,N/A,1.2751,1.2758,1.273
03/14/2024,1.2736,N/A,1.2751,1.2758,1.273
03/13/2024,1.279,N/A,1.2796,1.2805,1.2789
03/12/2024,1.2792,N/A,1.2791,1.28,1.2787
03/11/2024,1.282,N/A,1.2812,1.2823,1.2806
03/10/2024,1.2854,N/A,1.2857,1.2866,1.2845
03/08/2024,1.286,N/A,1.2806,1.2893,1.2801
03/07/2024,1.2809,N/A,1.2806,1.282,1.2804
08/10/2023,1.2681,N/A,1.2681,1.2684,1.2666
08/09/2023,1.2715,N/A,1.2718,1.2726,1.2709
08/08/2023,1.2753,N/A,1.2746,1.276,1.2735
08/07/2023,1.2755,N/A,1.2755,1.2787,1.2752
08/06/2023,1.274,N/A,1.274,1.2766,1.2738
08/04/2023,1.2751,N/A,1.2713,1.2793,1.2688
08/03/2023,1.2732,N/A,1.2713,1.2742,1.2704
08/02/2023,1.2714,N/A,1.2709,1.2729,1.2708
08/01/2023,1.2771,N/A,1.2777,1.2806,1.2763
07/31/2023,1.2822,N/A,1.2837,1.2841,1.2816
07/30/2023,1.285,N/A,1.285,1.286,1.2844
07/28/2023,1.285,N/A,1.2793,1.2887,1.2763
07/27/2023,1.2793,N/A,1.2793,1.2807,1.2787
07/26/2023,1.2963,N/A,1.2939,1.2977,1.2924
07/25/2023,1.2887,N/A,1.29,1.2904,1.2875
07/24/2023,1.2838,N/A,1.2832,1.2843,1.2809
07/23/2023,1.2863,N/A,1.2855,1.2871,1.2848
07/21/2023,1.2853,N/A,1.2865,1.2904,1.2816
07/20/2023,1.2877,N/A,1.2877,1.2887,1.2864
07/19/2023,1.2952,N/A,1.2937,1.2965,1.293
07/18/2023,1.3023,N/A,1.3023,1.3045,1.3013
07/17/2023,1.3095,N/A,1.3071,1.3096,1.3068
07/16/2023,1.3089,N/A,1.3086,1.3102,1.3082
07/14/2023,1.3094,N/A,1.3133,1.3146,1.3089
07/13/2023,1.314,N/A,1.3133,1.3146,1.3117
07/12/2023,1.3011,N/A,1.3011,1.3019,1.2982
07/11/2023,1.2961,N/A,1.2932,1.297,1.2855
07/10/2023,1.2877,N/A,1.2859,1.288,1.2855
07/09/2023,1.2812,N/A,1.2836,1.2842,1.2809
07/07/2023,1.2839,N/A,1.274,1.285,1.2726
07/06/2023,1.2734,N/A,1.2734,1.2746,1.2727
07/05/2023,1.2701,N/A,1.2704,1.2713,1.2691
07/04/2023,1.2707,N/A,1.2712,1.2722,1.27
07/03/2023,1.2691,N/A,1.2691,1.2702,1.2685
07/02/2023,1.2702,N/A,1.2702,1.2708,1.2688
06/30/2023,1.27,N/A,1.2612,1.2728,1.2599
06/29/2023,1.2622,N/A,1.2622,1.2624,1.2609
06/28/2023,1.2624,N/A,1.264,1.2647,1.2621
