Date,Close/Last,Volume,Open,High,Low
06/21/2024,197.54,1452292,198.01,198.56,197.00
06/20/2024,198.12,1635904,200.17,200.32,197.41
06/18/2024,199.67,1108735,199.61,199.95,198.94
06/17/2024,199.61,1343419,197.29,200.32,196.76
06/14/2024,197.19,1480962,196.09,197.22,195.90
06/13/2024,196.18,1105261,196.59,196.84,195.25
06/12/2024,195.09,1141452,194.22,196.07,193.95
06/11/2024,192.60,957670,190.74,192.64,190.155
06/10/2024,191.28,962794,190.07,191.40,189.93
06/07/2024,190.53,1028768,190.42,191.62,190.07
06/06/2024,190.70,2667087,191.04,191.15,190.20
06/05/2024,190.73,1272514,188.46,190.77,188.00
06/04/2024,186.97,2749930,186.35,187.48,185.65
06/03/2024,186.49,1786659,187.12,187.47,184.34
05/31/2024,185.87,1891060,185.89,186.17,182.35
05/30/2024,185.85,1882365,187.43,187.475,185.27
05/29/2024,187.88,1338388,187.41,188.55,187.39
05/28/2024,189.18,1517978,188.94,189.19,187.94
05/24/2024,188.48,1484346,187.39,188.96,187.0693
05/23/2024,186.70,6090536,189.52,189.56,185.95
05/22/2024,187.52,1052548,187.68,187.98,186.46
05/21/2024,187.57,1010646,186.45,187.64,186.34
05/20/2024,187.20,1119821,186.00,187.46,185.91
05/17/2024,185.91,1114123,186.05,186.29,184.971
05/16/2024,185.99,1669132,186.30,187.11,185.92
05/15/2024,186.35,1657369,184.54,186.45,183.89
05/14/2024,183.50,1155347,182.15,183.715,182.08
05/13/2024,182.34,1291334,182.69,182.73,181.77
05/10/2024,181.90,957666,182.11,182.81,181.28
05/09/2024,181.48,1437698,181.16,181.70,180.47
05/08/2024,181.08,818841,180.10,181.64,180.05
05/07/2024,181.19,1363731,181.35,181.86,180.89
05/06/2024,181.19,984073,179.97,181.20,179.63
05/03/2024,179.20,1944793,178.78,179.58,178.12
05/02/2024,175.65,1275059,175.02,176.03,173.08
05/01/2024,173.45,1449584,174.08,176.93,173.10
04/30/2024,174.68,1239073,177.39,177.97,174.67
04/29/2024,178.06,1590660,178.24,178.45,176.925
04/26/2024,177.35,1044108,175.99,177.96,175.695
04/25/2024,174.65,1234754,172.50,175.01,172.06
04/24/2024,175.49,1234890,176.22,176.805,174.58
04/23/2024,174.90,2176231,173.16,175.40,172.98
04/22/2024,172.35,1469330,171.72,173.30,170.35
04/19/2024,170.63,2820627,173.73,173.93,169.96
04/18/2024,174.26,1978473,175.49,176.1401,173.98
04/17/2024,175.23,1996275,178.23,178.23,174.84
04/16/2024,177.37,2670371,177.28,178.47,176.83
04/15/2024,177.36,3120146,181.89,181.8925,177.02
04/12/2024,180.33,2174572,181.48,181.95,179.76
04/11/2024,183.29,986506,181.14,183.64,180.21
04/10/2024,180.38,1667523,179.77,180.73,179.52
04/09/2024,181.95,1335925,182.27,182.38,180.00
04/08/2024,181.31,1171533,181.65,182.08,180.73
04/05/2024,181.24,2193789,179.75,182.32,179.42
04/04/2024,179.12,2354140,183.67,183.89,179.02
04/03/2024,181.91,1773484,180.66,182.67,180.62
04/02/2024,181.50,1803441,181.08,181.62,180.24
04/01/2024,183.11,1510030,183.08,184.13,182.29
03/28/2024,182.69,1343728,183.04,183.36,182.55
03/27/2024,183.07,2540714,183.69,183.74,181.84
03/26/2024,182.40,1432300,183.61,184.0056,182.32
03/25/2024,183.00,1089818,182.42,183.61,182.10
03/22/2024,183.59,1142781,183.25,184.11,182.90
03/21/2024,183.42,1914659,184.68,184.879,183.35
03/20/2024,182.59,1301847,180.945,182.7299,180.25
03/19/2024,180.43,1451160,179.18,180.60,178.30
03/18/2024,179.99,3187192,180.49,181.44,179.91
03/15/2024,178.64,2464071,179.50,179.80,178.16
03/14/2024,180.81,1672674,181.78,181.97,179.66
03/13/2024,181.24,1674207,182.24,182.24,180.80
