Date,Close/Last,Volume,Open,High,Low
06/21/2024,$12.44,1167001,$12.02,$12.59,$11.79
06/20/2024,$12.03,447886,$12.20,$12.36,$11.91
06/18/2024,$12.25,658354,$12.27,$12.52,$11.78
06/17/2024,$12.29,966990,$12.54,$12.549,$12.06
06/14/2024,$12.63,819109,$12.90,$13.16,$12.39
06/13/2024,$12.96,823173,$13.58,$13.62,$12.83
06/12/2024,$13.58,741084,$13.88,$14.20,$13.58
06/11/2024,$13.53,769365,$13.80,$13.89,$13.25
06/10/2024,$13.99,590004,$14.07,$14.38,$13.92
06/07/2024,$14.25,832619,$14.00,$14.39,$13.76
06/06/2024,$14.40,646202,$14.68,$14.775,$14.20
06/05/2024,$14.71,405980,$14.54,$15.00,$14.29
06/04/2024,$14.53,472457,$14.54,$14.79,$14.2587
06/03/2024,$14.87,599439,$15.38,$15.55,$14.52
05/31/2024,$15.29,987415,$15.34,$15.86,$14.91
05/30/2024,$15.55,695883,$16.11,$16.22,$15.31
05/29/2024,$16.22,657825,$16.60,$16.77,$16.1335
05/28/2024,$16.74,829231,$16.73,$17.30,$16.33
05/24/2024,$16.22,378395,$16.08,$16.31,$15.79
05/23/2024,$15.72,823373,$16.48,$16.70,$15.61
05/22/2024,$16.41,1154175,$17.00,$17.1192,$16.128
05/21/2024,$17.28,636634,$17.55,$17.98,$17.10
05/20/2024,$17.73,1077130,$18.81,$19.20,$17.71
05/17/2024,$18.56,3578789,$18.14,$18.96,$17.78
05/16/2024,$17.935,1204907,$17.82,$18.59,$17.16
05/15/2024,$17.05,841621,$18.19,$18.3799,$16.83
05/14/2024,$17.94,1028763,$17.20,$18.36,$17.00
05/13/2024,$17.00,695925,$17.24,$17.735,$16.99
05/10/2024,$17.13,892399,$18.08,$18.129,$16.79
05/09/2024,$17.87,709751,$17.25,$17.96,$17.10
05/08/2024,$17.20,956227,$16.63,$17.76,$16.60
05/07/2024,$16.82,1433410,$16.21,$17.48,$16.20
05/06/2024,$16.16,832758,$16.23,$16.37,$15.75
05/03/2024,$15.98,893000,$15.60,$16.02,$15.2001
05/02/2024,$15.36,884441,$14.97,$15.4899,$14.95
05/01/2024,$14.95,717869,$14.38,$15.06,$14.16
04/30/2024,$14.37,610673,$14.69,$14.97,$14.34
04/29/2024,$14.96,766245,$14.76,$15.24,$14.65
04/26/2024,$14.33,524013,$14.20,$14.5696,$14.07
04/25/2024,$14.05,576118,$13.96,$14.19,$13.76
04/24/2024,$14.07,467570,$14.09,$14.30,$13.86
04/23/2024,$14.03,506663,$13.59,$14.29,$13.4749
04/22/2024,$13.54,451884,$13.31,$13.895,$13.09
04/19/2024,$13.35,723937,$13.30,$13.5474,$13.01
04/18/2024,$13.41,1528506,$13.50,$13.86,$12.51
04/17/2024,$13.50,709919,$13.73,$14.0529,$13.1856
04/16/2024,$13.68,764796,$13.57,$13.79,$13.03
04/15/2024,$13.98,856577,$15.32,$15.32,$13.77
04/12/2024,$14.65,1005493,$15.60,$15.91,$14.4215
04/11/2024,$15.60,554504,$15.73,$15.74,$15.1101
04/10/2024,$15.51,676128,$15.21,$15.74,$14.79
04/09/2024,$15.42,1004846,$15.25,$15.99,$14.93
04/08/2024,$15.14,712099,$14.77,$15.17,$14.41
04/05/2024,$14.45,1003882,$13.89,$14.51,$13.41
04/04/2024,$13.77,1229992,$15.28,$15.28,$13.76
04/03/2024,$14.97,1815889,$14.50,$15.27,$14.37
04/02/2024,$14.46,1251616,$13.89,$14.5792,$13.65
04/01/2024,$14.11,2460119,$13.70,$14.43,$13.3612
03/28/2024,$12.96,1586621,$12.51,$13.14,$12.09
03/27/2024,$12.16,1479662,$11.53,$12.52,$11.45
03/26/2024,$11.52,782440,$12.03,$12.05,$11.42
03/25/2024,$11.85,779222,$11.84,$12.44,$11.70
03/22/2024,$11.88,1077351,$12.84,$12.84,$11.78
03/21/2024,$12.59,906008,$12.86,$13.46,$12.58
03/20/2024,$12.59,1391123,$12.45,$12.96,$12.23
03/19/2024,$12.55,879915,$12.41,$12.75,$12.15
03/18/2024,$12.70,1300752,$12.94,$12.94,$12.38
03/15/2024,$12.95,2639090,$14.40,$14.40,$12.85
03/14/2024,$14.26,634410,$14.70,$14.70,$14.01
03/13/2024,$14.71,1060469,$14.39,$15.32,$14.18
03/12/2024,$14.46,623659,$14.84,$14.86,$14.00
03/11/2024,$14.57,1435219,$13.62,$14.77,$13.57
03/08/2024,$13.50,1287398,$14.75,$14.8145,$13.50
03/07/2024,$14.60,931829,$15.25,$15.69,$14.50
03/06/2024,$15.11,1074328,$14.86,$15.45,$14.75
03/05/2024,$14.49,1262212,$15.04,$15.40,$14.16
03/04/2024,$15.59,1558010,$16.25,$16.36,$15.01
03/01/2024,$15.93,2505590,$14.73,$16.03,$13.78
02/29/2024,$14.22,2158643,$14.15,$15.8823,$13.90
02/28/2024,$13.84,1511758,$13.23,$14.15,$13.23
02/27/2024,$13.22,2049116,$12.56,$13.69,$12.13
02/26/2024,$12.51,1393936,$11.27,$12.52,$11.15
02/23/2024,$11.48,2620407,$12.05,$12.145,$10.46
02/22/2024,$11.88,1371552,$12.98,$13.006,$11.86
02/21/2024,$12.85,983806,$12.95,$13.2028,$12.661
02/20/2024,$12.80,1806412,$14.65,$15.14,$12.79
02/16/2024,$14.85,841093,$14.83,$15.33,$14.62
02/15/2024,$14.52,637720,$14.54,$15.28,$14.46
02/14/2024,$14.54,644725,$13.99,$14.8564,$13.93
02/13/2024,$13.93,1041381,$14.56,$14.725,$13.76
02/12/2024,$15.04,1022325,$15.10,$15.965,$14.91
02/09/2024,$14.64,1344697,$14.35,$14.75,$13.94
02/08/2024,$14.26,2274579,$13.05,$14.635,$12.64
02/07/2024,$13.06,2572990,$14.28,$14.44,$12.48
02/06/2024,$14.27,2688645,$14.47,$14.96,$13.51
02/05/2024,$14.39,6950630,$16.32,$16.36,$12.87
02/02/2024,$16.85,4214662,$19.11,$19.20,$16.14
02/01/2024,$19.52,2757155,$19.88,$20.35,$19.34
01/31/2024,$20.06,2360935,$21.41,$21.41,$19.68
01/30/2024,$21.38,1125500,$22.05,$22.2483,$21.345
01/29/2024,$22.40,793077,$22.70,$23.00,$22.20
01/26/2024,$22.73,767064,$22.96,$23.16,$22.48
01/25/2024,$22.65,706795,$22.83,$23.17,$22.40
