Date,Close/Last,Volume,Open,High,Low
06/26/2024,$70.86,4847041,$70.87,$71.02,$70.48
06/25/2024,$71.55,2562124,$71.58,$71.67,$71.22
06/24/2024,$71.42,3661056,$70.66,$71.595,$70.55
06/21/2024,$69.94,3306907,$70.11,$70.33,$69.79
06/20/2024,$70.03,3182240,$70.00,$70.58,$69.92
06/18/2024,$69.53,4162556,$69.55,$69.89,$69.455
06/17/2024,$69.15,5206625,$69.42,$69.47,$68.945
06/14/2024,$69.00,4109381,$69.35,$69.42,$68.56
06/13/2024,$69.76,3555578,$70.28,$70.28,$69.55
06/12/2024,$70.41,4147269,$71.27,$71.31,$70.23
06/11/2024,$70.29,3866629,$70.21,$70.33,$69.88
06/10/2024,$70.64,2629620,$69.96,$70.825,$69.77
06/07/2024,$69.45,2884229,$70.00,$70.33,$69.415
06/06/2024,$70.25,2759238,$69.93,$70.42,$69.80
06/05/2024,$69.81,2345469,$70.31,$70.34,$69.7001
06/04/2024,$70.09,3608313,$69.94,$70.14,$69.21
06/03/2024,$70.81,3495760,$72.64,$72.64,$70.78
05/31/2024,$72.78,3739175,$71.89,$72.82,$71.75
05/30/2024,$71.45,4123137,$71.19,$71.67,$71.16
05/29/2024,$71.45,3074933,$71.94,$71.95,$71.28
05/28/2024,$71.74,3078948,$71.36,$71.82,$71.04
05/24/2024,$70.82,2352149,$70.92,$71.15,$70.65
05/23/2024,$70.37,3029329,$71.07,$71.36,$70.1581
05/22/2024,$70.49,3504169,$70.90,$70.90,$70.19
05/21/2024,$71.40,2870551,$71.54,$71.85,$71.31
05/20/2024,$71.59,3816758,$71.64,$71.855,$71.475
05/17/2024,$71.92,4790547,$71.40,$71.99,$71.26
05/16/2024,$71.74,5038094,$72.19,$72.33,$71.72
05/15/2024,$73.30,4724607,$73.25,$73.495,$72.33
05/14/2024,$74.06,3327760,$73.87,$74.08,$73.38
05/13/2024,$74.17,3495386,$74.29,$74.605,$73.91
05/10/2024,$74.09,4451030,$74.15,$74.26,$73.88
05/09/2024,$73.55,4173306,$72.94,$73.62,$72.94
05/08/2024,$72.63,3138203,$72.30,$72.74,$72.065
05/07/2024,$72.97,3254813,$73.44,$73.56,$72.85
05/06/2024,$72.78,3585670,$72.79,$73.135,$72.62
05/03/2024,$72.37,4407390,$72.51,$72.57,$71.95
05/02/2024,$72.11,5134479,$72.12,$72.72,$71.98
05/01/2024,$70.95,4957347,$71.40,$71.55,$70.58
04/30/2024,$71.66,4276821,$72.92,$72.96,$71.61
04/29/2024,$73.12,3294253,$73.05,$73.305,$72.715
04/26/2024,$73.27,3880010,$73.17,$73.385,$72.68
04/25/2024,$73.27,4190457,$72.90,$73.50,$72.53
04/24/2024,$73.13,4563871,$73.08,$73.21,$72.59
04/23/2024,$72.77,3239783,$72.36,$72.875,$72.16
04/22/2024,$72.39,3634539,$71.99,$72.78,$71.5601
04/19/2024,$72.07,5567990,$70.73,$72.085,$70.65
04/18/2024,$71.03,3862612,$71.31,$71.5475,$70.77
04/17/2024,$71.14,4047598,$71.21,$71.72,$70.62
04/16/2024,$71.06,5079860,$71.54,$71.78,$70.84
04/15/2024,$71.94,7277935,$72.52,$72.715,$71.665
