Date,Close/Last,Volume,Open,High,Low
06/28/2024,109.9844,3015201,110.2344,110.50,109.6094
06/27/2024,110.25,1836754,110.00,110.3594,109.8594
06/26/2024,110.0625,1778724,110.5312,110.5625,109.9688
06/25/2024,110.5938,1512428,110.6406,110.7812,110.4375
06/24/2024,110.5312,1129930,110.4531,110.6875,110.3594
06/21/2024,110.50,1336811,110.4531,110.7969,110.3594
06/20/2024,110.5469,1623817,110.7188,110.8281,110.2656
06/18/2024,110.7969,1716730,110.3438,110.8906,110.2031
06/17/2024,110.4062,1435857,110.7344,110.75,110.2812
06/14/2024,110.8438,2160097,110.6406,111.0312,110.4531
06/13/2024,110.7188,2235641,110.1719,110.8438,110.0938
06/12/2024,110.3125,2720380,109.5156,110.6719,109.4844
06/11/2024,109.5469,1716638,109.0781,109.5938,109.0781
06/10/2024,109.0938,1295441,109.25,109.2656,109.0156
06/07/2024,109.3125,2320073,110.2969,110.6562,109.25
06/06/2024,110.3594,1767450,110.375,110.4062,110.0938
06/05/2024,110.2969,2441109,110.0312,110.3906,109.8281
06/04/2024,110.0156,2230026,109.625,110.1562,109.4688
06/03/2024,109.5625,1801855,108.8594,109.625,108.8594
05/31/2024,108.7969,2717097,108.5781,109.00,108.375
05/30/2024,108.5469,2007509,108.1406,108.6094,108.4375
05/29/2024,107.7656,2152895,108.2188,108.2656,107.6719
05/28/2024,108.2969,4730983,108.7812,108.9062,108.2031
05/24/2024,108.7031,3436837,108.6875,108.7969,108.50
05/23/2024,108.7188,3873943,109.0781,109.1875,108.5469
05/22/2024,109.0312,2092661,109.2188,109.25,108.8906
05/21/2024,109.2344,1420808,109.00,109.3281,109.0625
05/20/2024,109.0938,1078755,109.1719,109.2812,108.9531
05/17/2024,109.1875,1223182,109.4844,109.5781,109.1562
05/16/2024,109.4844,1719778,109.7656,109.9844,109.4375
05/15/2024,109.7188,2570358,109.0938,109.8281,109.0156
05/14/2024,109.0938,1748013,108.7656,109.1094,108.4688
05/13/2024,108.8281,1157629,108.7344,109.00,108.7188
05/10/2024,108.7031,1387845,109.0156,109.1094,108.6719
05/09/2024,109.0938,1768193,108.8125,109.1094,108.6094
05/08/2024,108.8281,1525835,109.0156,109.0938,108.7656
05/07/2024,109.0156,1632832,108.8906,109.2812,108.8125
05/06/2024,108.8906,1177695,108.7812,109.0469,108.7188
05/03/2024,108.8594,2772830,108.2344,109.2969,108.1875
05/02/2024,108.3594,1984602,107.8906,108.375,107.7812
05/01/2024,108.1094,2103071,107.4531,108.2031,107.3906
04/30/2024,107.4375,2616386,107.9219,108.0156,107.3906
04/29/2024,107.9531,1535486,107.5781,107.9844,107.5781
04/26/2024,107.5781,1701216,107.3594,107.8594,107.2812
04/25/2024,107.3594,2440449,107.8125,108.0312,107.125
04/24/2024,107.7344,1917274,108.0312,108.0625,107.625
04/23/2024,108.0781,1932547,107.9219,108.25,107.6406
04/22/2024,107.8594,1322568,107.6875,107.9688,107.5469
04/19/2024,107.9062,2131924,107.7812,108.7031,107.7656
04/18/2024,107.7031,2108915,108.1094,108.3281,107.6406
04/17/2024,108.1562,2191478,107.5781,108.25,107.4844
04/16/2024,107.6719,2697276,108.0469,108.125,107.4219
04/15/2024,107.8906,3084733,108.6719,108.6875,107.5781
04/12/2024,108.6875,2369186,108.0312,108.7969,108.0156
04/11/2024,108.1094,2889506,108.2812,108.5156,107.8594
04/10/2024,108.2031,3383057,109.6406,109.8281,108.1719
04/09/2024,109.6406,1563441,109.2656,109.7188,109.2031
04/08/2024,109.2656,1805453,109.4062,109.4219,109.0625
04/05/2024,109.6562,2249603,110.0938,110.1719,109.4531
04/04/2024,110.125,2066308,109.8906,110.1875,109.625
04/03/2024,109.7969,2198351,109.7656,109.8594,109.2969
04/02/2024,109.7188,2092108,110.0469,110.0938,109.4531
04/01/2024,109.9219,1329833,110.7969,110.9062,109.8594
03/28/2024,110.7969,1763282,110.8906,110.8906,110.5312
03/27/2024,110.875,1363076,110.6562,110.9844,110.5625
03/26/2024,110.6406,1239577,110.5625,110.7344,110.3594
03/25/2024,110.5156,1063050,110.8594,110.9375,110.4688
03/22/2024,110.75,1203568,110.4062,110.875,110.3906
03/21/2024,110.3906,1657442,110.4375,110.8281,110.2656
03/20/2024,110.4375,1723014,110.1406,110.6875,110.0469
03/19/2024,110.1406,1360599,109.9375,110.25,109.8438
03/18/2024,109.8125,1157635,110.0312,110.1719,109.7656
03/15/2024,110.0781,1536230,110.2344,110.3438,109.9688
03/14/2024,110.2031,2140480,110.9062,110.9531,110.1875
03/13/2024,110.9375,1392215,111.1875,111.3281,110.8906
03/12/2024,111.1719,2018355,111.6094,111.75,111.0781
03/11/2024,111.5938,1259212,111.7812,111.9688,111.5156
03/08/2024,111.7344,2018326,111.6875,112.1406,111.25
03/07/2024,111.6562,1835455,111.5312,111.8438,111.3438
03/06/2024,111.4844,2169702,111.2188,111.7188,111.0781
03/05/2024,111.2969,1865371,110.7969,111.4688,110.7188
03/04/2024,110.75,1265978,111.0156,111.0312,110.6562
03/01/2024,111.0312,2504918,110.4688,111.0625,110.1719
02/29/2024,110.4375,2959354,110.3906,110.6562,110.00
02/28/2024,110.3438,1743293,110.0938,110.4219,110.0781
02/27/2024,110.0469,2346392,110.25,110.4062,109.9844
02/26/2024,109.6094,5283095,109.8281,110.125,109.50
02/23/2024,109.875,4145585,109.5312,109.9688,109.2812
02/22/2024,109.50,4361048,109.6406,109.75,109.3125
